name,city,state,surface,roof
Lincoln Financial Field,,,grass,outdoors
M&T Bank Stadium,,,grass,outdoors
Lucas Oil Stadium,,,fieldturf,retractable roof 
FirstEnergy Stadium,,,grass,outdoors
Gillette Stadium,,,fieldturf,outdoors
MetLife Stadium,,,fieldturf,outdoors
Hard Rock Stadium,,,grass,outdoors
U.S. Bank Stadium,,,sportturf,dome
Mercedes-Benz Superdome,,,astroturf,dome
StubHub Center,,,grass,outdoors
Bank of America Stadium,,,grass,outdoors
State Farm Stadium,,,grass,retractable roof 
Sports Authority Field at Mile High,,,grass,outdoors
Lambeau Field,,,grass,outdoors
Ford Field,,,fieldturf,dome
Oakland-Alameda County Coliseum,,,grass,outdoors
Paul Brown Stadium,,,fieldturf,outdoors
Mercedes-Benz Stadium,,,fieldturf,retractable roof 
New Era Field,,,astroturf,outdoors
FedExField,,,grass,outdoors
Nissan Stadium,,,grass,outdoors
Heinz Field,,,grass,outdoors
Raymond James Stadium,,,grass,outdoors
Los Angeles Memorial Coliseum,,,grass,outdoors
Levi's Stadium,,,grass,outdoors
TIAA Bank Stadium,,,grass,outdoors
AT&T Stadium,,,matrixturf,retractable roof 
Soldier Field,,,grass,outdoors
NRG Stadium,,,astroturf,retractable roof 
Arrowhead Stadium,,,grass,outdoors
CenturyLink Field,,,fieldturf,outdoors
Wembley Stadium,,,grass,outdoors
Ring Central Coliseum,,,grass,outdoors
Empower Field at Mile High,,,grass,outdoors
Tottenham Stadium,,,grass,outdoors
Azteca Stadium,,,grass,outdoors
Bills Stadium,,,astroturf,outdoors
SoFi Stadium,,,matrixturf,dome
Lumen Field,,,fieldturf,outdoors
Allegiant Stadium,,,grass,dome
Highmark Stadium,,,a_turf,outdoors
GEHA Field at Arrowhead Stadium,,,grass,outdoors
Caesars Superdome,,,sportturf,dome
Paycor Stadium,,,fieldturf,outdoors
Acrisure Stadium,,,grass,outdoors
Allianz Arena,,,grass,outdoors
