id,name,locale,mascot,abbrev_pff,abbrev_nfl
1,Chicago Bears,Chicago,Bears,CHI,CHI
2,Arizona Cardinals,Arizona,Cardinals,ARI,ARI
3,Green Bay Packers,Green Bay,Packers,GNB,GB
4,New York Giants,New York,Giants,NYG,NYG
5,Detroit Lions,Detroit,Lions,DET,DET
6,Washington Redksins,Washington,Redksins,WAS,WAS
7,Pittsburgh Steelers,Pittsburgh,Steelers,PIT,PIT
8,Philadelphia Eagles,Philadelphia,Eagles,PHI,PHI
9,St. Louis Rams,St. Louis,Rams,STL,STL
10,San Francisco 49ers,San Francisco,49ers,SFO,SF
11,Cleveland Browns,Cleveland,Browns,CLE,CLE
12,Indianapolis Colts,Indianapolis,Colts,IND,IND
13,Tennessee Titans,Tennessee,Titans,TEN,TEN
14,New York Jets,New York,Jets,NYJ,NYJ
15,New England Patriots,New England,Patriots,NWE,NE
16,San Diego Chargers,San Diego,Chargers,SDG,SD
17,Oakland Raiders,Oakland,Raiders,OAK,OAK
18,Kansas City Chiefs,Kansas City,Chiefs,KAN,KC
19,Denver Broncos,Denver,Broncos,DEN,DEN
20,Dallas Cowboys,Dallas,Cowboys,DAL,DAL
21,Buffalo Bills,Buffalo,Bills,BUF,BUF
22,Minnesota Vikings,Minnesota,Vikings,MIN,MIN
23,Miami Dolphins,Miami,Dolphins,MIA,MIA
24,Atlanta Falcons,Atlanta,Falcons,ATL,ATL
25,New Orleans Saints,New Orleans,Saints,NOR,NO
26,Cincinnati Bengals,Cincinnati,Bengals,CIN,CIN
27,Tampa Bay Buccaneers,Tampa Bay,Buccaneers,TAM,TB
28,Seattle Seahawks,Seattle,Seahawks,SEA,SEA
29,Jacksonville Jaguars,Jacksonville,Jaguars,JAX,JAX
30,Carolina Panthers,Carolina,Panthers,CAR,CAR
31,Baltimore Ravens,Baltimore,Ravens,BAL,BAL
32,Houston Texans,Houston,Texans,HOU,HOU
33,Los Angeles Rams,Los Angeles,Rams,LAR,LA
34,Los Angeles Chargers,Los Angeles,Chargers,LAC,LAC
35,Las Vegas Raiders,Las Vegas,Raiders,LVR,LV
36,Washington Football Team,Washington,Football Team,WAS,WFT
37,Washington Commanders,Washington,Commanders,WAS,WAS
